id,timestamp,source,rating,feedback_text,text_length,timestamp_clean,feedback_clean
1847,,app_store_review,1.0,THANK YOU TO THE AGENT PRIYA WHO HANDLED MY COMPLAINT SO WELL - MY GROCERIES ORDER IN PUNE,90,,thank you to the agent priya who handled my complaint so well - my groceries order in pune
1695,02-Feb-24,app_store_review,,"Five stars, the app is fantastic and reliable (order #409153)",61,2024-02-02,"five stars, the app is fantastic and reliable ()"
2771,02/14/2024,app_store_review,1.0,"Cannot add address, the save button is greyed out",49,2024-02-14,"cannot add address, the save button is greyed out"
2770,03/15/2024,survey_comment,3.0,Works fine for me most of the time,34,2024-03-15,works fine for me most of the time
2075,04/01/2024,app_store_review,1.0,Coupon SAVE50 did not apply at checkout and I paid full price - my sushi order in Bangalore,91,2024-04-01,coupon save50 did not apply at checkout and i paid full price - my sushi order in bangalore
2529,2024-03-25 16:31:48,app_store_review,5.0,"Oh great, crashed again right at checkout, just love it",55,2024-03-25,"oh great, crashed again right at checkout, just love it"
2584,"March 18, 2024",support_ticket,2.0,Login keeps failing and when I finally got in the coupon did not apply either,77,2024-03-18,login keeps failing and when i finally got in the coupon did not apply either
2114,"January 21, 2024",survey_comment,2.0,"My refund still hasn't cooome after 10 days, this is ridiculous (order #190615)",79,2024-01-21,"my refund still hasn't cooome after 10 days, this is ridiculous ()"
2716,,app_store_review,5.0,Why is there a service fee I never agreed to on my bill,55,,why is there a service fee i never agreed to on my bill
2528,13-Mar-24,app_store_review,5.0,"Wonderful, charged me twice, exactly what I wanted today",56,2024-03-13,"wonderful, charged me twice, exactly what i wanted today"
2497,"January 5, 2024",support_ticket,2.0,Driver could not find my building and just cancelled - my groceries order in Bangalore,86,2024-01-05,driver could not find my building and just cancelled - my groceries order in bangalore
2281,01-Mar-24,app_store_review,1.0,Payment failed but money got deducted from my account Agent Priya was handling it.,82,2024-03-01,payment failed but money got deducted from my account agent priya was handling it.
1591,"March 16, 2024",survey_comment,3.0,"Average experience, could be better",35,2024-03-16,"average experience, could be better"
2224,10/01/2024,support_ticket,3.0,App stuck on loading screen for 5 minutes then closed (order #363537),69,2024-10-01,app stuck on loading screen for 5 minutes then closed ()
1054,01/27/2024,app_store_review,2.0,The store staff was friendly when I picked up my order (order #132537),70,2024-01-27,the store staff was friendly when i picked up my order ()
1493,"February 9, 2024",support_ticket,1.0,"Items were missing from my delivery, got only half the order (order #133795)",76,2024-02-09,"items were missing from my delivery, got only half the order ()"
2001,,survey_comment,,Payment failed but money got deducted from my account (order #536535),69,,payment failed but money got deducted from my account ()
2710,Jan 18 2024,app_store_review,5.0,Order marked delivered but nothing arrived at my place,54,2024-01-18,order marked delivered but nothing arrived at my place
1689,Feb 24 2024,app_store_review,2.0,The invoice amount does not match what the app showed me,56,2024-02-24,the invoice amount does not match what the app showed me
1436,Feb 6 2024,survey_comment,4.0,"Great experience overall, food always fresh - my thali order in Kolkata",71,2024-02-06,"great experience overall, food always fresh - my thali order in kolkata"
2234,2024-01-19 03:48:15,survey_comment,1.0,Nobody from support replied to my three emails,46,2024-01-19,nobody from support replied to my three emails
1682,01-Jan-24,app_store_review,1.0,"Items were missing from my delivery, got only half the order (order #908323)",76,2024-01-01,"items were missing from my delivery, got only half the order ()"
1508,Mar 21 2024,app_store_review,3.0,"PACKAGE WAS LEFT AT THE WRONG DOOR, I NEVER RECEIVED IT AGENT PRIYA WAS HANDLING IT.",84,2024-03-21,"package was left at the wrong door, i never received it agent priya was handling it."
2384,2024-03-26 09:12:43,survey_comment,2.0,The new version drains my battery so fast Agent Meera was handling it.,70,2024-03-26,the new version drains my battery so fast agent meera was handling it.
2039,13-Feb-24,app_store_review,2.0,The new version drains my battery so fast - my groceries order in Pune,70,2024-02-13,the new version drains my battery so fast - my groceries order in pune
1377,2024-03-25,support_ticket,2.0,"Package was left at the wrong door, I never received it Agent Vikram was handling it.",85,2024-03-25,"package was left at the wrong door, i never received it agent vikram was handling it."
2530,2024-02-28,app_store_review,4.0,"BRILLIANT, MY REFUND IS 'ON THE WAY' FOR THE THIRD WEEK NOW, LOVELY",67,2024-02-28,"brilliant, my refund is 'on the way' for the third week now, lovely"
2069,2024-03-23,app_store_review,4.0,"Love this app, ordering is so smooth and fast - my milk order in Bangalore",74,2024-03-23,"love this app, ordering is so smooth and fast - my milk order in bangalore"
1544,Feb 24 2024,support_ticket,2.0,Delivery person was rude and threw the bag on the floor (order #137042),71,2024-02-24,delivery person was rude and threw the bag on the floor ()
2583,2024-02-25 07:52:32,support_ticket,1.0,Order came late AND I was charged a delivery fee that should have been free,75,2024-02-25,order came late and i was charged a delivery fee that should have been free
2576,02/24/2024,app_store_review,1.0,Login keeps failing and when I finally got in the coupon did not apply either,77,2024-02-24,login keeps failing and when i finally got in the coupon did not apply either
2578,Mar 19 2024,support_ticket,1.0,Order came late AND I was charged a delivery fee that should have been free,75,2024-03-19,order came late and i was charged a delivery fee that should have been free
2204,10-Jan-24,app_store_review,3.0,"It is okay, nothing special",27,2024-01-10,"it is okay, nothing special"
1692,2024-01-05,survey_comment,2.0,Nobody from support replied to my three emails - my thali order in Kolkata,74,2024-01-05,nobody from support replied to my three emails - my thali order in kolkata
1754,,support_ticket,3.0,"It is okay, nothing special",27,,"it is okay, nothing special"
2610,03-Feb-24,app_store_review,,Please add more vegan restaurants to the platform,49,2024-02-03,please add more vegan restaurants to the platform
1350,11/02/2024,app_store_review,5.0,"Love this app, ordering is so smooth and fast (order #245117)",61,2024-11-02,"love this app, ordering is so smooth and fast ()"
1852,02/17/2024,survey_comment,3.0,"It is okay, nothing special",27,2024-02-17,"it is okay, nothing special"
1801,12-Jan-24,app_store_review,2.0,Search bar shows no results even for items that exist (order #954678),69,2024-01-12,search bar shows no results even for items that exist ()
1882,2024-01-06 00:03:42,support_ticket,1.0,Notifications stopped working after the update Agent Meera was handling it.,75,2024-01-06,notifications stopped working after the update agent meera was handling it.
2713,2024-01-19,app_store_review,5.0,Coupon SAVE50 did not apply at checkout and I paid full price,61,2024-01-19,coupon save50 did not apply at checkout and i paid full price
2368,07-Feb-24,survey_comment,1.0,Thank you to the agent Priya who handled my complaint so well (order #262315),77,2024-02-07,thank you to the agent priya who handled my complaint so well ()
2092,2024-01-23,support_ticket,1.0,"Cannot add address, the save button is greyed out Agent Rahul was handling it.",78,2024-01-23,"cannot add address, the save button is greyed out agent rahul was handling it."
